COUNTRY,CNT,EU,LEVEL,EXPLICIT,SCHOOLID,CLASSID,TEID,FSTWT,N_Teachers_Part,N_Students_Part,TE01Q01,TE01Q02,TE02Q01,TE03Q01,TE04Q01,TE04Q02,TE04Q03,TE05Q01,TE05Q02,TE06Q01,TE07Q01,TE08Q01,TE08Q02,TE08Q03,TE09Q01,TE09Q02,TE09Q03,TE09Q04,TE09Q05,TE09Q06,TE09Q07,TE09Q08,TE09Q09,TE10Q01,TE11Q01,TE12Q01,TE12Q02,TE13Q01,TE14Q01,TE14Q02,TE14Q03,TE14Q04,TE14Q05,TE14Q06,TE14Q07,TE14Q08,TE14Q09,TE14Q10,TE14Q11,TE15Q01,TE16Q01,TE16Q02,TE16Q03,TE16Q04,TE16Q05,TE17Q01,TE18Q01,TE18Q02,TE18Q03,TE18Q04,TE18Q05,TE18Q06,TE18Q07,TE18Q08,TE18Q09,TE18Q10,TE18Q11,TE19Q01,TE19Q02,TE19Q03,TE19Q04,TE20Q01,TE20Q02,TE20Q03,TE20Q04,TE20Q05,TE20Q06,TE20Q07,TE20Q08,TE20Q09,TE20Q10,TE20Q11,TE20Q12,TE20Q13,TE20Q14,TE20Q15,TE20Q16,TE20Q17,TE20Q18,TE20Q19,TE20Q20,TE20Q21,TE21Q01,TE21Q02,TE21Q03,TE21Q04,TE21Q05,TE21Q06,TE21Q07,TE21Q08,TE21Q09,TE21Q10,TE21Q11,TE22Q01,TE22Q02,TE22Q03,TE22Q04,TE22Q05,TE22Q06,TE22Q07,TE22Q08,TE22Q09,TE22Q10,TE22Q11,TE22Q12,TE22Q13,TE22Q14,TE22Q15,TE22Q16,TE22Q17,TE22Q18,TE22Q19,TE22Q20,TE23Q01,TE23Q02,TE23Q03,TE23Q04,TE23Q05,TE23Q06,TE23Q07,TE24Q01,TE24Q02,TE24Q03,TE24Q04,TE24Q05,TE24Q06,TE24Q07,TE24Q08,TE24Q09,TE24Q10,TE25Q01,TE26Q01,TE27Q01,TE28Q01,TE29Q01,TE14_ProfDev,TE18_TeachAct,TE20_Equip,TE20_Ped,TE20_Goal,TE21_StudCentered,TE21_TeachCentered,TE22_skills,TE22_Commun,TE24_Attitude,TE23_Opinion,DIGSUPTE_Cluster
Austria,11,1,ISCED1,2,11102004,111020041,111020041101,462.4,1,24,13,11,1,4,2,1,2,1,1,4,6,2,2,1,3,3,1,1,1,3,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,4,4,1,1,4,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,3,3,4,3,3,3,2,2,2,2,2,2,3,4,3,2,2,1,1,1,2,3,1,1,1,1,1,1,3,4,1,3,1,4,3,3,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,5,4,5,1,0.00,1.91,1.00,1.57,1.75,2.50,2.80,3.58,2.33,3.00,2.86,3
Austria,11,1,ISCED1,2,11102007,111020071,111020071101,462.4,1,16,8,8,1,4,1,M,M,1,1,4,6,2,2,1,1,3,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,2,2,3,3,3,3,3,1,1,1,1,2,2,2,1,1,2,3,3,3,4,3,2,4,2,2,3,2,2,1,3,2,3,3,2,2,3,2,2,2,3,3,2,2,1,4,3,4,1,0.36,1.55,1.50,1.43,1.00,2.33,3.20,3.25,1.67,2.63,2.71,3
Austria,11,1,ISCED1,2,11102009,111020091,111020091101,462.4,1,10,8,2,1,4,M,1,M,M,1,4,4,M,M,1,M,3,M,M,M,M,M,M,M,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,1,2,1,1,3,4,4,3,2,4,1,1,2,1,1,1,1,1,1,2,2,4,2,3,3,2,4,3,2,4,4,3,3,1,2,3,3,3,4,3,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,3,1,1,1,2,2,2,2,3,3,3,3,2,1,1,4,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,1,2,1,5,3,4,2,0.09,2.36,2.33,1.86,1.75,3.50,3.40,3.25,2.00,3.13,3.00,3
Austria,11,1,ISCED1,2,11102012,111020121,111020121101,462.4,1,10,2,8,1,4,2,2,2,1,1,4,4,2,2,1,3,3,1,1,1,1,1,3,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,2,1,3,3,4,4,4,1,2,2,2,4,4,1,1,1,3,4,2,2,2,1,3,1,1,1,2,1,2,2,4,3,4,3,2,2,3,3,2,2,1,1,2,3,3,3,4,4,4,2,2,3,3,4,4,4,4,4,4,4,2,2,3,3,2,2,3,3,3,2,1,1,6,4,2,1,0.18,1.36,1.83,2.71,3.00,2.00,3.80,2.75,1.00,2.38,1.29,4
Austria,11,1,ISCED1,2,11102016,111020161,111020161101,462.4,1,21,11,10,1,4,2,1,1,1,1,4,1,1,2,1,4,3,4,3,1,3,3,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,2,4,4,1,4,4,4,4,4,4,1,3,3,2,4,1,1,1,1,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,1,1.00,3.36,1.33,1.29,1.00,3.83,4.00,3.92,4.00,4.00,4.00,1
Austria,11,1,ISCED1,2,11102017,111020171,111020171101,46.24,1,2,7,14,1,4,2,1,2,1,1,4,7,2,1,M,1,3,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,1,1,2,3,2,1,3,1,1,1,2,1,1,1,1,1,1,1,4,3,1,2,4,2,4,4,4,2,3,4,2,4,4,4,4,2,4,1,2,2,2,2,2,4,3,2,2,2,2,1,2,2,4,1,1,1,1,2,1,2,1,1,1,1,3,2,2,3,2,3,4,3,3,4,4,3,2,3,2,2,3,3,4,2,M,1,4,3,5,1,0.00,1.64,3.00,1.71,1.50,2.83,2.80,3.33,4.00,2.25,1.71,4
Austria,11,1,ISCED1,2,11102305,111023051,111023051101,462.4,1,18,7,11,1,4,2,2,1,1,2,3,6,2,1,M,3,3,4,4,4,3,4,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,3,3,3,2,2,3,3,4,4,4,4,4,3,4,4,2,3,3,1,2,2,2,1,2,1,2,3,3,3,1,1,2,4,4,1,1,1,2,4,4,4,4,4,4,3,4,3,3,4,4,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,1,4,3,2,2,0.09,1.00,1.83,1.86,1.50,2.50,3.60,2.42,1.00,3.00,2.29,3
Austria,11,1,ISCED1,2,11102310,111023101,111023101101,462.4,1,14,8,6,1,4,M,M,1,1,1,4,6,M,M,1,3,M,M,M,M,M,M,M,2,2,2,2,2,2,1,1,M,M,1,M,M,M,M,1,M,4,2,2,M,2,M,1,2,4,2,2,1,2,1,1,1,3,2,1,1,1,1,2,2,2,1,1,2,2,2,3,3,3,3,2,2,2,4,3,3,3,3,4,1,1,1,2,1,1,2,3,2,2,3,1,1,2,3,3,1,1,1,1,2,2,3,3,4,3,2,1,1,1,4,2,1,2,2,2,3,3,2,2,3,1,1,1,1,2,2,1,1,4,5,4,1,C,1.91,3.33,2.43,1.75,2.83,3.80,3.17,1.67,3.38,2.86,3
Austria,11,1,ISCED1,2,11102613,111026131,111026131101,462.4,1,13,10,3,6,1,1,2,2,1,1,4,1,1,M,1,3,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,1,2,1,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,4,2,4,4,2,2,2,3,4,4,4,4,1,4,4,4,4,2,4,4,1,1,1,4,1,2,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,5,4,5,1,0.09,1.45,2.00,1.71,1.00,2.33,3.40,4.00,4.00,3.75,3.57,1
Austria,11,1,ISCED1,2,11102615,111026151,111026151101,462.4,1,24,13,11,1,4,2,2,1,1,1,4,5,2,2,1,1,3,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,4,1,1,1,2,1,2,2,4,4,4,4,4,1,1,2,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,3,3,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,3,2,4,1,1,1,1,4,3,4,3,4,2,3,2,3,3,4,1,1,1,2,1,2,2,2,2,2,2,2,2,3,2,2,2,1,5,4,5,1,0.18,2.55,3.67,3.71,2.50,3.00,3.60,2.67,2.00,2.88,3.57,4
Austria,11,1,ISCED1,3,11103016,111030161,111030161101,763.7222,1,18,9,9,1,4,M,M,1,1,1,4,3,M,M,1,M,3,M,M,M,M,M,M,3,2,2,1,M,2,2,2,2,1,1,1,1,1,2,1,2,5,1,2,1,2,4,1,2,2,3,2,3,3,1,2,1,2,2,1,1,1,1,4,4,2,2,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,2,1,1,1,1,3,4,3,1,1,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,2,2,2,2,1,2,2,1,1,2,1,5,4,5,1,0.55,2.09,1.67,1.00,1.25,3.17,3.20,C,C,3.25,C,1
Austria,11,1,ISCED1,3,11103017,111030171,111030171101,581.8836,1,16,12,8,1,4,M,1,M,1,1,3,4,M,M,1,M,3,M,3,M,M,3,M,M,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,4,4,4,2,4,1,1,1,3,3,1,1,2,1,2,2,3,2,2,4,2,2,1,1,2,1,3,1,1,1,3,4,3,2,2,1,1,2,2,2,2,4,2,4,4,4,1,1,1,1,3,1,1,1,1,3,1,2,4,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,M,1,4,3,5,1,0.09,2.73,2.50,3.29,2.25,2.00,3.00,3.50,1.67,2.75,2.86,4
Austria,11,1,ISCED1,3,11103032,111030321,111030321101,763.7222,1,14,8,6,1,4,2,2,1,1,1,4,5,2,2,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,4,1,1,3,3,3,1,1,3,1,1,1,1,1,2,2,2,1,3,4,4,4,4,4,2,2,2,4,3,2,2,2,2,1,3,3,M,2,2,1,2,3,2,1,2,2,4,3,2,4,1,1,2,4,4,1,2,2,3,4,4,4,4,4,4,2,4,4,4,4,1,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2,1,1,4,3,4,1,0.00,1.73,1.17,2.57,2.50,2.17,3.20,2.25,1.00,2.88,3.43,4
Austria,11,1,ISCED1,3,11103047,111030471,111030471101,700.0787,1,11,3,9,1,4,2,2,1,1,1,2,8,2,2,2,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,3,4,3,1,1,3,4,4,4,4,4,4,4,M,3,4,4,4,4,2,4,1,1,1,1,1,1,4,4,2,2,2,1,1,4,4,4,1,1,1,1,4,4,4,1,4,4,4,4,2,2,4,3,3,3,3,3,3,4,1,2,2,2,3,3,3,3,2,3,1,4,2,4,1,0.09,1.09,2.50,1.00,1.50,3.00,3.40,2.25,2.00,2.63,1.86,4
Austria,11,1,ISCED1,3,11103053,111030531,111030531101,763.7222,1,23,16,7,1,4,2,1,2,1,1,2,5,1,2,1,3,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,4,2,1,2,2,1,1,M,2,2,2,2,2,1,1,2,1,2,1,1,2,1,4,4,4,1,1,2,4,3,3,3,3,4,3,2,2,4,4,4,4,4,4,2,1,2,2,2,2,3,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,3,2,2,2,4,2,2,2,3,3,3,2,2,2,2,2,2,3,3,2,2,2,1,6,4,4,1,0.18,1.75,2.33,1.71,1.00,3.00,3.00,3.50,3.33,2.75,2.57,2
Austria,11,1,ISCED1,3,11103055,111030551,111030551101,763.7222,1,15,6,9,1,4,2,2,2,1,1,4,5,1,2,1,M,3,M,M,M,M,M,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,3,2,2,2,2,M,1,1,4,4,1,2,4,1,1,1,1,2,1,1,1,1,4,4,3,4,4,4,2,2,1,2,4,2,1,3,3,2,4,4,3,2,4,2,2,1,3,1,4,4,4,3,3,4,1,1,2,2,3,1,1,1,2,3,1,4,4,4,4,3,4,4,4,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,1,6,4,4,1,0.18,2.00,1.17,3.00,1.50,1.50,3.00,3.00,1.00,2.75,3.00,3
