COUNTRY,CNT,EU,LEVEL,EXPLICIT,SCHOOLID,CLASSID,TEID,FSTWT,N_Teachers_Part,N_Students_Part,TE01Q01,TE01Q02,TE02Q01,TE03Q01,TE04Q01,TE04Q02,TE04Q03,TE05Q01,TE05Q02,TE06Q01,TE07Q01,TE08Q01,TE08Q02,TE08Q03,TE09Q01,TE09Q02,TE09Q03,TE09Q04,TE09Q05,TE09Q06,TE09Q07,TE09Q08,TE09Q09,TE10Q01,TE11Q01,TE12Q01,TE12Q02,TE13Q01,TE14Q01,TE14Q02,TE14Q03,TE14Q04,TE14Q05,TE14Q06,TE14Q07,TE14Q08,TE14Q09,TE14Q10,TE14Q11,TE15Q01,TE16Q01,TE16Q02,TE16Q03,TE16Q04,TE16Q05,TE17Q01,TE18Q01,TE18Q02,TE18Q03,TE18Q04,TE18Q05,TE18Q06,TE18Q07,TE18Q08,TE18Q09,TE18Q10,TE18Q11,TE19Q01,TE19Q02,TE19Q03,TE19Q04,TE20Q01,TE20Q02,TE20Q03,TE20Q04,TE20Q05,TE20Q06,TE20Q07,TE20Q08,TE20Q09,TE20Q10,TE20Q11,TE20Q12,TE20Q13,TE20Q14,TE20Q15,TE20Q16,TE20Q17,TE20Q18,TE20Q19,TE20Q20,TE20Q21,TE21Q01,TE21Q02,TE21Q03,TE21Q04,TE21Q05,TE21Q06,TE21Q07,TE21Q08,TE21Q09,TE21Q10,TE21Q11,TE22Q01,TE22Q02,TE22Q03,TE22Q04,TE22Q05,TE22Q06,TE22Q07,TE22Q08,TE22Q09,TE22Q10,TE22Q11,TE22Q12,TE22Q13,TE22Q14,TE22Q15,TE22Q16,TE22Q17,TE22Q18,TE22Q19,TE22Q20,TE23Q01,TE23Q02,TE23Q03,TE23Q04,TE23Q05,TE23Q06,TE23Q07,TE24Q01,TE24Q02,TE24Q03,TE24Q04,TE24Q05,TE24Q06,TE24Q07,TE24Q08,TE24Q09,TE24Q10,TE25Q01,TE26Q01,TE27Q01,TE28Q01,TE29Q01,TE14_ProfDev,TE18_TeachAct,TE20_Equip,TE20_Ped,TE20_Goal,TE21_StudCentered,TE21_TeachCentered,TE22_skills,TE22_Commun,TE24_Attitude,TE23_Opinion,DIGSUPTE_Cluster
Austria,11,1,ISCED3B,1,11401003,114010031,114010031101,112.853,3,12,12,11,5,2,1,M,M,1,1,4,1,1,2,1,3,3,4,3,2,1,1,2,3,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,5,4,4,2,2,1,1,2,2,2,2,2,3,2,3,1,2,3,1,1,1,1,2,3,M,4,3,3,2,3,3,3,3,4,3,3,4,4,M,3,3,2,3,1,1,2,2,2,3,2,4,2,2,2,1,2,2,2,2,3,2,1,1,2,2,3,2,2,1,2,2,1,1,4,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,5,1,0.55,2.18,2.01,2.00,2.05,2.50,3.40,3.08,3.33,3.63,3.29,4
Austria,11,1,ISCED3B,1,11401003,114010031,114010031102,112.853,3,12,M,M,5,2,2,1,1,1,1,4,1,M,M,1,1,3,2,2,1,1,1,2,3,2,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,5,3,2,1,4,1,1,3,3,3,3,3,3,3,3,1,3,1,1,1,1,1,1,3,2,2,2,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,1,1,2,2,2,2,2,3,2,2,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,3,2,1,1,1,2,1,5,1,0.64,2.64,3.00,2.14,2.00,2.67,3.40,3.67,4.00,3.13,3.00,3
Austria,11,1,ISCED3B,1,11401003,114010031,114010031103,112.853,3,12,15,10,5,2,1,M,M,1,1,2,1,1,2,1,1,3,1,1,1,1,1,2,3,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,5,4,4,1,1,1,1,2,2,2,2,1,2,3,2,1,2,1,1,1,1,1,2,2,3,1,3,2,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,1,1,1,1,1,1,1,3,2,3,3,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,4,2,2,1,3,2,2,2,3,1,3,2,1,2,3,2,2,2,1,2,1,5,1,0.45,1.82,2.83,1.00,1.00,2.83,4.00,3.75,3.67,2.88,3.00,4
Austria,11,1,ISCED3B,1,11401005,114010051,114010051101,199.6631,3,16,10,6,5,2,1,M,M,1,1,4,1,1,2,1,M,3,M,M,M,M,M,3,3,2,2,1,2,2,M,1,1,M,M,1,1,1,1,1,M,5,4,4,4,4,1,1,2,M,2,3,4,4,4,4,1,4,2,1,1,1,1,4,4,3,4,4,4,1,4,4,3,4,4,3,4,2,2,4,2,1,3,4,1,1,2,2,1,2,1,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,1,0.76,2.94,1.17,1.71,1.75,2.67,3.80,4.00,4.00,4.00,4.00,4
Austria,11,1,ISCED3B,1,11401005,114010051,114010051102,199.6631,3,16,10,6,5,3,2,M,1,1,1,4,4,1,2,1,3,3,2,1,1,1,2,2,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,3,1,1,2,1,2,1,2,1,2,2,1,3,1,1,1,1,1,1,1,2,1,3,3,3,1,3,3,3,1,3,3,3,3,3,2,2,2,4,4,4,3,4,1,1,3,2,1,2,1,4,2,2,2,1,1,4,4,4,1,1,M,1,1,1,4,1,4,4,1,1,2,1,4,3,3,1,3,3,2,4,2,1,2,2,3,3,2,3,2,3,1,5,4,5,1,0.18,1.45,2.33,2.29,1.25,2.67,3.60,3.00,2.00,2.75,2.29,2
Austria,11,1,ISCED3B,1,11401005,114010051,114010051103,199.6631,3,16,10,6,6,2,1,1,1,1,1,4,5,2,1,1,3,3,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,1,2,2,4,4,2,3,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,3,3,2,3,2,2,2,2,3,3,4,3,4,2,2,2,4,4,3,3,4,2,1,2,M,2,2,2,3,2,2,2,1,2,4,4,M,3,3,2,3,4,4,4,3,4,4,4,3,4,4,4,3,3,2,3,3,2,3,1,1,2,1,2,2,2,2,1,2,1,5,4,2,2,0.45,1.36,2.50,2.00,1.25,2.85,3.20,1.80,1.33,3.38,2.29,2
Austria,11,1,ISCED3B,2,11402001,114020011,114020011101,310.5482,3,22,14,16,3,2,M,M,1,1,1,4,4,1,2,1,1,2,2,2,1,1,2,2,3,2,2,1,2,2,2,1,1,1,1,2,2,1,2,1,1,5,1,2,1,4,2,1,2,3,2,2,2,2,1,2,1,1,2,1,1,2,2,2,1,3,3,2,2,2,2,1,1,1,2,2,2,1,1,4,3,3,3,4,2,2,2,2,2,2,2,3,3,2,3,1,1,1,1,2,1,1,1,1,1,1,2,2,3,3,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2,4,4,5,1,0.64,1.82,2.83,3.43,1.50,2.50,3.00,3.83,2.33,3.38,3.43,3
Austria,11,1,ISCED3B,2,11402001,114020011,114020011102,310.5482,3,22,12,6,5,2,1,2,1,1,1,4,1,1,2,1,1,3,1,2,1,1,3,3,3,2,2,1,2,2,2,1,1,1,1,2,1,2,2,1,1,5,1,1,2,2,2,1,4,2,2,2,1,2,1,1,2,2,1,1,1,1,1,4,4,4,4,4,4,2,4,4,3,3,4,4,4,4,1,3,4,2,4,4,1,1,1,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,1,2,3,2,1,1,2,4,4,5,1,0.64,1.82,1.00,1.57,1.25,2.83,3.60,4.00,2.33,3.25,3.14,4
Austria,11,1,ISCED3B,2,11402001,114020011,114020011103,310.5482,3,22,19,8,2,2,1,M,M,1,M,4,5,M,1,M,3,M,M,M,M,M,M,M,M,2,2,M,1,2,2,2,2,2,2,2,2,2,1,1,1,3,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,3,1,1,3,3,2,2,2,3,2,3,1,1,4,4,4,4,2,4,2,1,2,2,3,1,3,4,3,3,2,2,2,3,3,4,2,1,1,2,4,4,4,3,4,4,4,3,3,3,4,3,3,3,2,2,4,2,2,1,3,2,M,3,3,3,M,2,2,6,5,4,1,0.27,1.27,3.17,2.57,1.50,2.50,2.80,2.17,1.33,2.63,2.29,1
Austria,11,1,ISCED3B,2,11402008,114020081,114020081101,465.8222,2,23,24,3,3,2,1,M,M,1,2,4,6,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,1,5,1,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,1,2,1,1,4,4,2,1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,1,1,2,2,1,2,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,M,3,4,4,2,2,2,2,4,2,1,4,2,4,4,2,2,3,1,1,4,4,5,1,0.45,1.55,2.33,1.00,1.00,3.00,3.60,4.00,2.00,2.38,2.14,2
