COUNTRY,CNT,EU,LEVEL,EXPLICIT,SCHOOLID,PRINCID,BSCWT,FSCWT,FSTWT,N_Principal_Part,N_teachers_Part,N_Students_Part,SC01Q01A,SC01Q02A,SC01Q03A,SC01Q04A,SC01Q01B,SC01Q02B,SC01Q03B,SC01Q04B,SC02Q01,SC03Q01,SC04Q01,SC05Q01A,SC05Q02A,SC05Q03A,SC05Q04A,SC05Q01B,SC05Q02B,SC05Q03B,SC05Q04B,SC06Q01,SC07Q01A,SC07Q02A,SC07Q03A,SC07Q04A,SC07Q05A,SC07Q06A,SC07Q07A,SC07Q08A,SC07Q09A,SC07Q01B,SC07Q02B,SC07Q03B,SC07Q04B,SC07Q05B,SC07Q06B,SC07Q07B,SC07Q08B,SC07Q09B,SC07Q01C,SC07Q02C,SC07Q03C,SC07Q04C,SC07Q05C,SC07Q06C,SC07Q07C,SC07Q08C,SC07Q09C,SC07Q01D,SC07Q02D,SC07Q03D,SC07Q04D,SC07Q05D,SC07Q06D,SC07Q07D,SC07Q08D,SC07Q09D,SC07Q01E,SC07Q02E,SC07Q03E,SC07Q04E,SC07Q05E,SC07Q06E,SC07Q07E,SC07Q08E,SC07Q09E,SC08Q01,SC09Q01,SC09Q02,SC09Q03,SC09Q04,SC10Q01,SC10Q02,SC10Q03,SC10Q04,SC10Q05,SC11Q01,SC12Q01,SC13Q01,SC13Q02,SC13Q03,SC13Q04,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,SC14Q11,SC15Q01,SC15Q02,SC15Q03,SC15Q04,SC15Q05,SC15Q06,SC15Q07,SC15Q08,SC15Q09,SC16Q01,SC16Q02,SC16Q03,SC16Q04,SC17Q01,SC17Q02,SC17Q03,SC17Q04,SC17Q05,SC17Q06,SC17Q07,SC17Q08,SC17Q09,SC17Q10,SC17Q11,SC17Q12,SC17Q13,SC17Q14,SC17Q15,SC17Q16,SC17Q17,SC17Q18,SC17Q19,SC17Q20,SC18Q01,SC18Q02,SC18Q03,SC18Q04,SC18Q05,SC18Q06,SC18Q07,SC18Q08,SC19Q01,SC19Q02,SC19Q03,SC19Q04,SC19Q05,SC19Q06,SC20Q01,SC20Q02,SC20Q03,SC21Q01,SC21Q02,SC21Q03,SC21Q04,SC21Q05,SC21Q06,SC21Q07,SC21Q08,SC21Q09,SC21Q10,SC22Q01,SC22Q02,SC22Q03,SC22Q04,SC22Q05,SC22Q06,SC23Q01A,SC23Q01B,SC23Q01C,SC23Q01D,SC23Q01E,SC23Q02A,SC23Q02B,SC23Q02C,SC23Q02D,SC23Q02E,SC23Q03A,SC23Q03B,SC23Q03C,SC23Q03D,SC23Q03E,SC23Q04A,SC23Q04B,SC23Q04C,SC23Q04D,SC23Q04E,SC23Q05A,SC23Q05B,SC23Q05C,SC23Q05D,SC23Q05E,SC24Q01,SC25Q01,SC25Q02,SC25Q03,SC26Q01,SC15_Profdev,SC17_equip,SC17_PED,SC17_Goal,SC21_attitude,DIGEQUIPSC_Cluster,DIGSUPSC_Cluster
Austria,11,1,ISCED1,1,11101603,11101603,46.5676,46.5676,N,1,0,0,49,0,0,0,50,0,0,0,2,M,8,8,0,0,0,2,1,1,1,1,30,9,0,1,0,0,0,1,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,30,9,0,1,0,0,0,1,2,4,0,5,0,0,0,0,0,0,0,2,4,1,2,2,2,2,1,2,2,N,1,2,1,2,1,2,2,2,1,1,2,1,1,1,2,1,2,2,1,4,3,1,1,1,2,2,2,2,2,2,2,2,M,3,3,3,3,3,3,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,4,4,4,4,4,3,3,2,4,2,1,1,1,2,1,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,5,4,1.44,3.00,3.00,2.00,3.50,C,C
Austria,11,1,ISCED1,2,11102002,11102002,29.6410,32.3357,N,1,0,0,36,0,0,0,33,0,0,0,1,1,7,7,0,0,0,2,M,M,M,1,5,5,0,0,0,0,0,1,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,0,2,0,0,0,0,0,0,0,1,1,2,2,1,2,2,1,2,2,N,M,M,M,M,M,2,1,1,1,1,1,1,2,1,1,2,N,N,N,1,1,2,1,1,2,2,3,2,2,3,2,1,2,1,1,2,2,3,2,2,2,2,2,1,1,1,2,2,2,2,2,2,M,2,2,2,3,3,3,3,3,4,3,3,3,3,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,4,4,5,5,1.11,3.67,2.86,2.75,3.13,C,C
Austria,11,1,ISCED1,2,11102004,11102004,24.0833,26.2727,519.4864,1,1,24,39,0,0,0,39,0,0,0,2,1,4,4,0,0,0,2,M,M,M,1,2,7,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,0,2,0,0,0,0,0,0,0,2,1,1,2,1,2,1,1,2,1,2,2,N,N,N,N,2,1,2,1,1,1,1,1,1,1,2,N,N,N,4,4,4,4,4,4,2,2,2,2,4,2,2,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,M,4,3,3,3,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,5,4,1.11,1.00,2.71,2.00,3.30,1,3
Austria,11,1,ISCED1,2,11102007,11102007,17.5152,19.1074,519.4864,1,1,16,41,0,0,0,49,0,0,0,1,1,9,9,0,0,0,2,1,1,1,1,0,6,0,0,0,0,0,1,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,3,14,7,1,0,0,0,0,0,0,M,2,1,M,1,M,1,1,2,2,N,2,N,N,N,N,2,3,3,2,1,1,1,1,1,2,2,N,N,N,3,3,3,3,2,4,1,1,2,2,4,1,1,2,2,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,3,3,5,5,1.67,2.00,3.29,2.50,3.00,2,3
Austria,11,1,ISCED1,2,11102009,11102009,14.8205,16.1678,519.4864,1,1,10,33,0,0,0,32,0,0,0,1,3,10,10,0,0,0,2,1,1,1,3,0,17,2,0,0,1,0,2,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,0,14,1,2,0,0,0,0,0,4,2,1,M,1,1,1,1,2,1,2,2,N,N,N,N,2,1,1,2,1,2,2,1,2,2,1,2,2,2,4,4,4,1,4,M,2,3,3,3,2,3,4,3,1,2,4,4,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,1,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,5,M,M,5,1.56,1.81,2.14,1.75,4.00,1,4
Austria,11,1,ISCED1,2,11102012,11102012,11.3333,12.3636,519.4864,1,1,10,80,0,0,0,56,0,0,0,1,1,15,15,0,0,0,2,1,1,1,2,0,16,0,0,0,0,0,1,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,0,15,1,0,0,0,0,0,0,4,1,1,2,2,2,1,1,2,2,N,2,N,N,N,N,2,2,1,2,1,2,1,1,1,1,1,1,2,1,2,3,4,1,1,2,1,1,2,2,3,3,2,2,4,3,4,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,5,3,1.33,2.83,3.00,2.25,4.00,2,3
Austria,11,1,ISCED1,2,11102016,11102016,8.9612,9.7759,519.4864,1,1,21,86,0,0,0,87,0,0,0,3,3,26,26,0,0,0,2,1,1,1,3,0,27,0,4,0,2,8,8,8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,12,27,0,3,3,8,0,0,0,6,3,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,4,2,2,4,3,3,2,2,2,1,1,1,1,4,4,4,4,2,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,2,1,1,1,M,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,1,1,1,2,2,1,1,2,2,5,4,2.67,1.50,1.43,1.00,4.00,1,2
Austria,11,1,ISCED1,2,11102017,11102017,8.5630,9.3414,51.9486,1,1,2,91,0,0,0,77,0,0,0,4,4,16,10,0,0,0,2,1,1,1,3,0,12,0,0,0,1,1,2,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,0,12,1,0,0,1,0,0,0,2,1,M,M,1,M,1,2,2,1,2,2,N,N,N,N,2,2,2,1,3,2,1,1,1,1,2,N,N,N,1,1,1,4,4,1,2,1,1,1,1,2,1,3,3,4,4,3,4,4,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,4,4,3,4,4,4,4,3,4,4,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,3,3,5,3,1.56,3.00,3.71,1.25,3.75,1,3
Austria,11,1,ISCED1,2,11102305,11102305,22.6667,24.7273,519.4864,1,1,18,26,0,0,0,22,0,0,0,2,1,4,4,0,0,0,2,1,1,1,1,2,3,0,0,0,1,0,1,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,3,3,0,0,1,0,0,0,0,0,3,2,2,2,1,2,2,2,2,2,N,2,N,N,N,N,2,2,1,1,1,1,1,1,1,1,2,N,N,N,2,3,4,4,4,2,2,1,3,3,4,3,1,3,3,3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,4,3,3,3,3,3,3,3,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,3,3,5,4,1.11,1.83,2.57,2.75,3.13,3,3
Austria,11,1,ISCED1,2,11102308,11102308,16.0556,17.5152,N,1,0,0,43,0,0,0,69,0,0,0,1,1,12,12,0,0,0,2,1,1,1,2,8,1,0,0,0,1,0,1,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,0,1,1,0,0,0,0,0,0,3,1,2,2,1,2,2,2,2,2,N,2,N,N,N,N,1,3,3,3,1,1,1,1,1,1,2,N,N,N,2,3,4,4,4,4,2,2,3,2,4,4,4,4,4,4,4,4,4,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,3,3,3,3,3,3,1,1,1,1,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,4,5,5,1.67,1.50,2.00,1.00,2.38,C,C
