COUNTRY,CNT,EU,LEVEL,EXPLICIT,SCHOOLID,PRINCID,BSCWT,FSCWT,FSTWT,N_Principal_Part,N_Teachers_Part,N_Students_Part,SC01Q01A,SC01Q02A,SC01Q03A,SC01Q04A,SC01Q01B,SC01Q02B,SC01Q03B,SC01Q04B,SC02Q01,SC03Q01,SC04Q01,SC05Q01A,SC05Q02A,SC05Q03A,SC05Q04A,SC05Q01B,SC05Q02B,SC05Q03B,SC05Q04B,SC06Q01,SC07Q01A,SC07Q02A,SC07Q03A,SC07Q04A,SC07Q05A,SC07Q06A,SC07Q07A,SC07Q08A,SC07Q09A,SC07Q01B,SC07Q02B,SC07Q03B,SC07Q04B,SC07Q05B,SC07Q06B,SC07Q07B,SC07Q08B,SC07Q09B,SC07Q01C,SC07Q02C,SC07Q03C,SC07Q04C,SC07Q05C,SC07Q06C,SC07Q07C,SC07Q08C,SC07Q09C,SC07Q01D,SC07Q02D,SC07Q03D,SC07Q04D,SC07Q05D,SC07Q06D,SC07Q07D,SC07Q08D,SC07Q09D,SC07Q01E,SC07Q02E,SC07Q03E,SC07Q04E,SC07Q05E,SC07Q06E,SC07Q07E,SC07Q08E,SC07Q09E,SC08Q01,SC09Q01,SC09Q02,SC09Q03,SC09Q04,SC10Q01,SC10Q02,SC10Q03,SC10Q04,SC10Q05,SC11Q01,SC12Q01,SC13Q01,SC13Q02,SC13Q03,SC13Q04,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,SC14Q11,SC15Q01,SC15Q02,SC15Q03,SC15Q04,SC15Q05,SC15Q06,SC15Q07,SC15Q08,SC15Q09,SC16Q01,SC16Q02,SC16Q03,SC16Q04,SC17Q01,SC17Q02,SC17Q03,SC17Q04,SC17Q05,SC17Q06,SC17Q07,SC17Q08,SC17Q09,SC17Q10,SC17Q11,SC17Q12,SC17Q13,SC17Q14,SC17Q15,SC17Q16,SC17Q17,SC17Q18,SC17Q19,SC17Q20,SC18Q01,SC18Q02,SC18Q03,SC18Q04,SC18Q05,SC18Q06,SC18Q07,SC18Q08,SC19Q01,SC19Q02,SC19Q03,SC19Q04,SC19Q05,SC19Q06,SC20Q01,SC20Q02,SC20Q03,SC21Q01,SC21Q02,SC21Q03,SC21Q04,SC21Q05,SC21Q06,SC21Q07,SC21Q08,SC21Q09,SC21Q10,SC22Q01,SC22Q02,SC22Q03,SC22Q04,SC22Q05,SC22Q06,SC23Q01A,SC23Q01B,SC23Q01C,SC23Q01D,SC23Q01E,SC23Q02A,SC23Q02B,SC23Q02C,SC23Q02D,SC23Q02E,SC23Q03A,SC23Q03B,SC23Q03C,SC23Q03D,SC23Q03E,SC23Q04A,SC23Q04B,SC23Q04C,SC23Q04D,SC23Q04E,SC23Q05A,SC23Q05B,SC23Q05C,SC23Q05D,SC23Q05E,SC24Q01,SC25Q01,SC25Q02,SC25Q03,SC26Q01,SC15_Profdev,SC17_equip,SC17_PED,SC17_Goal,SC21_attitude,DIGEQUIPSC_Cluster,DIGSUPSC_Cluster
Austria,11,1,ISCED3A,2,11302301,11302301,23.3077,23.3077,1212,1,3,26,M,M,41,M,M,M,88,M,2,1,14,M,M,14,M,1,1,2,1,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,44,0,0,0,1,0,3,12,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,30,12,2,0,M,M,M,M,M,M,1,1,1,M,M,1,1,1,1,1,M,M,M,M,M,2,3,2,2,1,2,2,2,2,2,1,2,1,M,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,M,M,M,M,4,2.00,2.50,3.00,3.00,3.00,1,2
Austria,11,1,ISCED3A,2,11302305,11302305,15.1500,15.1500,N,1,0,0,0,0,0,0,0,0,0,0,1,1,41,0,38,41,0,1,2,2,1,2,N,N,N,N,N,N,N,N,N,0,32,0,0,0,0,0,2,2,0,45,0,0,0,0,0,2,11,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,78,13,5,2,0,0,0,0,0,6,1,1,2,2,2,1,1,2,1,2,1,1,1,2,1,2,2,3,2,2,2,3,2,3,2,1,2,1,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,4,4,4,4,4,4,4,3,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,4,4,2.33,1.17,1.00,1.00,3.88,C,C
Austria,11,1,ISCED3A,3,11303003,11303003,4.9840,4.9840,282.7273,1,3,27,0,133,88,0,0,166,116,0,1,1,45,0,26,19,0,1,2,2,1,2,N,N,N,N,N,N,N,N,N,0,98,0,0,0,0,8,2,12,0,98,0,15,0,0,8,2,12,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,34,25,7,32,2,3,1,2,0,6,3,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3,2,2,2,1,3,1,1,1,2,3,3,3,2,2,2,2,3,4,3,3,4,4,4,4,4,4,4,3,4,2,2,2,2,1,1,2,2,2,2,1,2,1,1,2,1,2,3,4,3,3,3,2,3,2,3,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,5,5,5,5,2.11,2.50,1.71,1.25,2.88,1,1
Austria,11,1,ISCED3A,3,11303005,11303005,5.0900,5.0900,282.7273,1,2,17,M,130,78,M,M,146,121,M,2,1,45,M,45,40,M,1,2,2,1,2,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,0,109,4,4,0,0,0,3,27,4,16,1,8,3,0,0,0,0,0,3,1,1,2,2,M,1,1,M,1,2,1,1,1,2,1,M,2,3,2,2,3,2,3,1,M,1,1,1,1,4,3,3,1,2,3,2,2,2,3,3,2,M,2,2,4,3,3,2,4,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,3,3,3,4,3,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,4,4,2.22,2.33,2.60,2.00,3.63,2,2
Austria,11,1,ISCED3A,3,11303009,11303009,5.3162,5.3162,282.7273,1,2,23,M,199,86,M,M,216,111,M,1,1,60,M,40,20,M,1,2,2,1,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,80,10,0,0,1,0,1,10,4,50,0,16,10,0,0,0,0,0,2,1,1,M,M,M,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,N,N,N,3,4,1,1,2,4,2,2,2,2,2,2,1,3,2,3,4,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,2,4,2,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,5,5,1.44,2.50,3.14,2.50,2.50,2,2
Austria,11,1,ISCED3A,3,11303013,11303013,5.6960,5.6960,N,1,3,0,0,126,67,0,0,167,123,0,2,1,40,0,40,40,0,1,2,2,1,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,40,0,23,0,0,0,0,0,3,40,0,3,20,0,0,0,0,0,M,2,1,1,2,M,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1,2,M,M,M,M,1,2,2,1,1,1,2,1,1,2,2,2,2,2,M,2,2,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,2,3,3,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,M,M,M,M,M,1,2,2,5,5,1.60,3.67,2.78,2.50,2.50,C,C
Austria,11,1,ISCED3A,3,11303015,11303015,6.2955,6.2955,282.7273,1,3,13,M,M,8,M,M,M,4,M,2,1,36,M,36,36,M,1,2,2,1,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,64,0,5,0,1,0,1,21,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,32,18,3,0,0,0,0,0,0,6,3,1,2,2,2,1,1,2,1,2,1,1,1,2,1,2,2,4,2,2,2,2,2,1,3,1,1,1,1,4,4,4,3,3,4,3,3,4,3,3,4,3,4,4,3,4,4,4,4,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,4,3,3,3,4,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,1,M,M,M,M,M,2,2,2,5,5,2.22,1.33,1.71,1.00,3.25,1,1
Austria,11,1,ISCED3A,3,11303018,11303018,7.7171,7.7171,282.7273,1,3,27,0,0,105,0,0,0,123,0,3,1,23,0,0,23,0,1,1,2,1,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,63,4,5,0,0,9,1,19,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,32,0,3,0,2,0,0,7,0,2,3,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,4,2,1,1,1,1,2,N,N,N,4,4,4,4,3,4,2,2,3,2,4,1,1,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,3,3,2,2,2,2,4,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,5,5,1.44,1.17,2.86,2.00,2.50,1,2
Austria,11,1,ISCED3A,3,11303319,11303319,10.4013,10.4013,282.7273,1,3,17,0,124,35,0,0,117,70,0,2,1,32,0,32,30,0,1,2,2,1,1,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,0,70,0,4,0,0,0,1,9,4,15,0,4,0,0,0,0,0,0,1,1,1,M,1,M,1,1,2,1,1,1,1,1,1,1,2,2,4,2,1,2,1,1,1,1,1,2,1,M,3,3,1,1,2,3,1,3,3,2,4,3,2,2,M,3,4,4,3,4,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,4,4,3,4,4,2,3,2,3,2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,3,3,5,4,1.67,2.83,2.43,1.25,3.25,2,2
Austria,11,1,ISCED3A,4,11304003,11304003,12.2792,12.2792,421,1,3,18,M,M,M,M,M,M,M,M,1,2,M,M,M,M,M,M,M,M,M,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,C,C,C,C,C,C,C
