COUNTRY,CNT,EU,LEVEL,EXPLICIT,SCHOOLID,PRINCID,BSCWT,FSCWT,FSTWT,N_Principal_Part,N_Teachers_Part,N_Students_Part,SC01Q01A,SC01Q02A,SC01Q03A,SC01Q04A,SC01Q01B,SC01Q02B,SC01Q03B,SC01Q04B,SC02Q01,SC03Q01,SC04Q01,SC05Q01A,SC05Q02A,SC05Q03A,SC05Q04A,SC05Q01B,SC05Q02B,SC05Q03B,SC05Q04B,SC06Q01,SC07Q01A,SC07Q02A,SC07Q03A,SC07Q04A,SC07Q05A,SC07Q06A,SC07Q07A,SC07Q08A,SC07Q09A,SC07Q01B,SC07Q02B,SC07Q03B,SC07Q04B,SC07Q05B,SC07Q06B,SC07Q07B,SC07Q08B,SC07Q09B,SC07Q01C,SC07Q02C,SC07Q03C,SC07Q04C,SC07Q05C,SC07Q06C,SC07Q07C,SC07Q08C,SC07Q09C,SC07Q01D,SC07Q02D,SC07Q03D,SC07Q04D,SC07Q05D,SC07Q06D,SC07Q07D,SC07Q08D,SC07Q09D,SC07Q01E,SC07Q02E,SC07Q03E,SC07Q04E,SC07Q05E,SC07Q06E,SC07Q07E,SC07Q08E,SC07Q09E,SC08Q01,SC09Q01,SC09Q02,SC09Q03,SC09Q04,SC10Q01,SC10Q02,SC10Q03,SC10Q04,SC10Q05,SC11Q01,SC12Q01,SC13Q01,SC13Q02,SC13Q03,SC13Q04,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,SC14Q11,SC15Q01,SC15Q02,SC15Q03,SC15Q04,SC15Q05,SC15Q06,SC15Q07,SC15Q08,SC15Q09,SC16Q01,SC16Q02,SC16Q03,SC16Q04,SC17Q01,SC17Q02,SC17Q03,SC17Q04,SC17Q05,SC17Q06,SC17Q07,SC17Q08,SC17Q09,SC17Q10,SC17Q11,SC17Q12,SC17Q13,SC17Q14,SC17Q15,SC17Q16,SC17Q17,SC17Q18,SC17Q19,SC17Q20,SC18Q01,SC18Q02,SC18Q03,SC18Q04,SC18Q05,SC18Q06,SC18Q07,SC18Q08,SC19Q01,SC19Q02,SC19Q03,SC19Q04,SC19Q05,SC19Q06,SC20Q01,SC20Q02,SC20Q03,SC21Q01,SC21Q02,SC21Q03,SC21Q04,SC21Q05,SC21Q06,SC21Q07,SC21Q08,SC21Q09,SC21Q10,SC22Q01,SC22Q02,SC22Q03,SC22Q04,SC22Q05,SC22Q06,SC23Q01A,SC23Q01B,SC23Q01C,SC23Q01D,SC23Q01E,SC23Q02A,SC23Q02B,SC23Q02C,SC23Q02D,SC23Q02E,SC23Q03A,SC23Q03B,SC23Q03C,SC23Q03D,SC23Q03E,SC23Q04A,SC23Q04B,SC23Q04C,SC23Q04D,SC23Q04E,SC23Q05A,SC23Q05B,SC23Q05C,SC23Q05D,SC23Q05E,SC24Q01,SC25Q01,SC25Q02,SC25Q03,SC26Q01,SC15_Profdev,SC17_equip,SC17_PED,SC17_Goal,SC21_attitude,DIGEQUIPSC_Cluster,DIGSUPSC_Cluster
Austria,11,1,ISCED3B,1,11401003,11401003,4.6069,4.6069,322.8804,1,3,12,M,M,M,224,M,M,M,370,3,3,80,M,M,M,80,M,M,M,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,200,0,250,2,4,0,1,40,M,M,M,M,M,M,M,M,M,4,160,25,5,10,0,0,0,0,0,6,4,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,3,3,2,3,2,2,3,3,1,2,1,M,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,4,4,3,4,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,3,3,3,3,3,3,3,2,3,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,M,5,4,2.56,1.17,1.43,1.25,2.88,2,4
Austria,11,1,ISCED3B,1,11401005,11401005,7.8253,7.8253,571.25,1,3,16,0,0,0,95,0,0,0,180,3,2,36,0,0,0,36,1,1,1,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,115,12,0,0,0,0,1,25,M,M,M,M,M,M,M,M,M,4,95,14,1,5,0,0,0,1,0,6,3,1,M,M,M,2,2,2,2,N,2,N,N,N,N,1,2,M,3,2,3,2,2,2,1,1,1,1,1,4,4,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,4,4,3,3,4,4,3,4,4,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,5,5,5,5,2.14,1.67,1.00,1.00,3.63,1,4
Austria,11,1,ISCED3B,2,11402001,11402001,22.2125,26.6550,1066.2,1,3,22,0,0,0,27,0,0,0,61,1,2,19,0,0,0,19,1,1,1,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,90,0,15,0,0,2,5,10,M,M,M,M,M,M,M,M,M,4,40,8,2,30,1,0,0,1,0,6,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,3,2,2,2,3,2,2,3,3,1,2,1,1,3,4,3,4,2,3,3,3,3,3,2,4,4,4,4,3,4,4,4,4,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,4,4,4,4,3,3,3,4,4,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,5,5,5,5,2.44,1.83,1.86,1.00,3.63,2,4
Austria,11,1,ISCED3B,2,11402008,11402008,5.8072,6.9686,1066.2,1,2,23,0,0,0,21,0,0,0,129,2,1,120,0,0,0,120,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,5,0,4,10,28,0,224,0,73,5,0,4,10,28,4,131,36,4,31,0,3,1,0,0,4,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,4,4,3,2,4,4,3,4,3,3,4,4,3,4,4,4,4,3,3,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,4,4,4,4,M,3,3,4,4,3,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,3,3,5,5,2.00,1.50,1.57,1.75,3.67,2,2
Austria,11,1,ISCED3B,2,11402009,11402009,5.8072,6.9686,1066.2,1,2,16,M,M,M,813,M,M,M,144,2,1,114,M,M,M,114,1,1,1,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,350,0,50,0,0,2,3,15,0,0,0,0,0,0,0,0,0,4,300,0,0,50,0,3,0,0,0,6,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,3,4,4,2,2,2,3,3,4,3,4,3,3,4,3,3,4,4,4,4,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,4,4,4,4,3,3,3,3,4,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,M,M,M,M,M,1,1,2,1,1,1,1,1,1,1,2,2,2,4,4,2.00,2.17,1.71,1.00,3.50,2,4
Austria,11,1,ISCED3B,3,11403006,11403006,4.5497,6.1746,955.1423,1,3,21,0,0,0,250,0,0,0,420,4,3,88,0,0,0,88,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,105,0,0,5,4,35,M,M,M,M,M,M,M,M,M,4,330,20,2,15,1,3,0,0,0,4,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,1,1,2,4,4,3,2,3,2,1,1,2,3,3,2,2,3,2,4,2,3,4,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,2,4,3,3,4,3,3,3,3,4,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,3,3,5,4,1.78,2.00,3.00,1.75,3.25,2,3
Austria,11,1,ISCED3B,3,11403012,11403012,5.2413,7.1131,955.1423,1,3,22,0,0,0,169,0,0,0,243,2,3,42,0,0,0,42,1,1,1,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,210,2,3,0,0,1,2,29,M,M,M,M,M,M,M,M,M,4,175,20,8,7,0,0,0,1,0,4,4,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,4,4,1,2,1,2,4,4,3,3,2,2,2,1,2,3,4,4,4,4,3,3,4,3,4,4,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,4,3,4,3,4,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,M,M,3,2.33,2.00,2.14,1.25,3.63,2,2
Austria,11,1,ISCED3B,3,11403013,11403013,5.6970,7.7317,955.1423,1,3,20,M,M,M,M,M,M,M,M,1,1,50,M,M,M,50,1,M,M,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,100,0,350,0,0,5,3,25,M,M,M,M,M,M,M,M,M,4,100,25,1,0,0,5,0,0,0,6,2,1,2,2,2,1,1,1,1,1,1,1,1,2,M,2,4,4,4,4,4,4,2,2,3,1,1,1,1,3,4,4,3,4,2,3,4,3,2,4,3,2,4,4,4,4,3,3,4,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1,1,4,4,4,4,3,3,3,3,4,4,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,4,4,5,5,3.44,1.67,2.00,1.50,3.50,2,4
Austria,11,1,ISCED3B,3,11403014,11403014,5.7470,7.7995,N,1,2,0,M,M,M,190,M,M,M,226,1,1,45,M,M,M,45,1,1,1,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,174,0,82,0,0,2,2,30,M,M,M,M,M,M,M,M,M,4,144,0,3,5,1,0,0,0,1,3,1,1,M,M,M,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,2,1,1,1,M,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,4,4,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,5,5,1.44,1.00,1.14,1.00,3.63,C,C
Austria,11,1,ISCED3B,3,11403016,11403016,6.8246,9.2619,955.1423,1,3,27,M,M,M,26,M,M,M,53,2,1,31,M,M,M,31,1,1,1,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,200,0,50,0,1,1,3,30,M,M,M,M,M,M,M,M,M,4,20,1,6,0,0,0,0,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,3,2,3,2,1,2,1,2,2,2,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,4,4,5,4,2.00,1.17,1.29,1.00,4.00,2,4
